,report_date,unique_id,quantity,average_unit_cost,market_rate,symbol_name,fund_id,instrument_type,symbol_code,expiry_date
0,2022-06-17,,1925.0,17939.710465013763,17915.15,Abbott India - 30/06/2022,TB1,FUTURES,ABBOTINDIA,30-Jun-2022
1,2022-06-17,,36250.0,680.335341603,670.0,Adani Ports and Special Economic Zone Ltd - 30/06/2022,TB1,FUTURES,ADANIPORTS,30-Jun-2022
2,2022-06-17,,7000.0,3441.710636305714,3704.0,Apollo Hospitals Enterprise - 30/06/2022,TB1,FUTURES,APOLLOHOSP,30-Jun-2022
3,2022-06-17,,52500.0,182.210507178571,174.3,Apollo Tyres - 30/06/2022,TB1,FUTURES,APOLLOTYRE,30-Jun-2022
4,2022-06-17,,30450.0,2741.200577216453,2588.45,Asian Paints Ltd - 30/06/2022,TB1,FUTURES,ASIANPAINT,30-Jun-2022
5,2022-06-17,,4000.0,3650.390925174375,3491.3,Bajaj Auto Ltd - 30/06/2022,TB1,FUTURES,BAJAJ-AUTO,30-Jun-2022
6,2022-06-17,,23750.0,5763.450866325235,5416.35,Bajaj Finance Ltd - 30/06/2022,TB1,FUTURES,BAJFINANCE,30-Jun-2022
7,2022-06-17,,29250.0,99.027945861172,95.4,Bank of Baroda - 30/06/2022,TB1,FUTURES,BANKBARODA,30-Jun-2022
8,2022-06-17,,161500.0,677.410799409529,645.55,Bharti Airtel Ltd - 30/06/2022,TB1,FUTURES,BHARTIARTL,30-Jun-2022
9,2022-06-17,,170200.0,325.496948948919,314.25,Biocon Ltd - 30/06/2022,TB1,FUTURES,BIOCON,30-Jun-2022
10,2022-06-17,,8200.0,3446.676060664197,3284.0,Britannia Industries Ltd - 30/06/2022,TB1,FUTURES,BRITANNIA,30-Jun-2022
11,2022-06-17,,5000.0,1985.8160634465,1845.75,Deepak Nitrite Ltd - 30/06/2022,TB1,FUTURES,DEEPAKNTR,30-Jun-2022
12,2022-06-17,,17200.0,3496.416361062427,3489.5,Divis Laboratories Ltd - 30/06/2022,TB1,FUTURES,DIVISLAB,30-Jun-2022
13,2022-06-17,,4900.0,2650.743217875,2609.8,Eicher Motors Ltd - 30/06/2022,TB1,FUTURES,EICHERMOT,30-Jun-2022
14,2022-06-17,,13000.0,743.846635618847,727.75,Godrej Consumer Products Ltd - 30/06/2022,TB1,FUTURES,GODREJCP,30-Jun-2022
15,2022-06-17,,18200.0,1347.8476113225,1188.55,Godrej Properties Ltd - 30/06/2022,TB1,FUTURES,GODREJPROP,30-Jun-2022
16,2022-06-17,,112200.0,258.298640817728,219.25,Gujarat State Petronet Ltd - 30/06/2022,TB1,FUTURES,GSPL,30-Jun-2022
17,2022-06-17,,271700.0,1349.436417921559,1290.7,HDFC Bank Ltd - 30/06/2022,TB1,FUTURES,HDFCBANK,30-Jun-2022
18,2022-06-17,,63800.0,587.917004709025,551.95,HDFC Life Insurance Company Limited - 30/06/2022,TB1,FUTURES,HDFCLIFE,30-Jun-2022
19,2022-06-17,,4750.0,1863.73311879,1836.55,Hindustan Aeronautics Limited - 30/06/2022,TB1,FUTURES,HAL,30-Jun-2022
20,2022-06-17,,297000.0,232.799473302546,209.75,Hindustan Petroleum Corporation Ltd - 30/06/2022,TB1,FUTURES,HINDPETRO,30-Jun-2022
21,2022-06-17,,40500.0,2271.62822612539,2116.45,Hindustan Unilever Ltd - 30/06/2022,TB1,FUTURES,HINDUNILVR,30-Jun-2022
22,2022-06-17,,10800.0,2266.391354324167,2058.2,Housing Development Finance Corp Ltd - 30/06/2022,TB1,FUTURES,HDFC,30-Jun-2022
23,2022-06-17,,27625.0,1219.069752701538,1116.15,ICICI Lombard General Insurance Company Ltd - 30/06/2022,TB1,FUTURES,ICICIGI,30-Jun-2022
24,2022-06-17,,266400.0,36.44954224375,31.7,IDFC First Bank Ltd - 30/06/2022,TB1,FUTURES,IDFCFIRSTB,30-Jun-2022
25,2022-06-17,,588800.0,265.44702201671,263.4,ITC Ltd - 30/06/2022,TB1,FUTURES,ITC,30-Jun-2022
26,2022-06-17,,45000.0,885.8405067246,807.95,IndusInd Bank Ltd - 30/06/2022,TB1,FUTURES,INDUSINDBK,30-Jun-2022
27,2022-06-17,,105900.0,1416.287101264675,1390.7,Infosys Ltd - 30/06/2022,TB1,FUTURES,INFY,30-Jun-2022
28,2022-06-17,,8050.0,1545.590358827142,1493.2,Larsen and Toubro Ltd - 30/06/2022,TB1,FUTURES,LT,30-Jun-2022
29,2022-06-17,,28000.0,950.513270630861,994.55,Mahindra and Mahindra Ltd - 30/06/2022,TB1,FUTURES,M&M,30-Jun-2022
30,2022-06-17,,9600.0,2962.434722862812,2788.5,MindTree Limited - 30/06/2022,TB1,FUTURES,MINDTREE,30-Jun-2022
31,2022-06-17,,219200.0,270.816822417153,270.1,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED - 30/06/2022,TB1,FUTURES,NAM-INDIA,30-Jun-2022
32,2022-06-17,,324900.0,151.059368526315,140.85,NTPC Ltd - 30/06/2022,TB1,FUTURES,NTPC,30-Jun-2022
33,2022-06-17,,246400.0,148.451151876094,142.0,Oil and Natural Gas Corporation Ltd - 30/06/2022,TB1,FUTURES,ONGC,30-Jun-2022
34,2022-06-17,,1500.0,3199.802704836,3196.45,Persistent Systems Ltd - 30/06/2022,TB1,FUTURES,PERSISTENT,30-Jun-2022
35,2022-06-17,,53330.0,224.950941455454,212.05,Power Grid Corporation of India Ltd - 30/06/2022,TB1,FUTURES,POWERGRID,30-Jun-2022
36,2022-06-17,,34750.0,2554.907828699352,2591.95,Reliance Industries Ltd - 30/06/2022,TB1,FUTURES,RELIANCE,30-Jun-2022
37,2022-06-17,,12500.0,777.6166801572,688.0,SBI Cards and Payment Services - 30/06/2022,TB1,FUTURES,SBICARD,30-Jun-2022
38,2022-06-17,,30000.0,1086.790776399231,1085.55,SBI Life Insurance Company Ltd - 30/06/2022,TB1,FUTURES,SBILIFE,30-Jun-2022
39,2022-06-17,,1475.0,18372.64168057176,18106.65,Shree Cements - 30/06/2022,TB1,FUTURES,SHREECEM,30-Jun-2022
40,2022-06-17,,16400.0,1168.380156211464,1137.2,Shriram Transport Finance Co Ltd - 30/06/2022,TB1,FUTURES,SRTRANSFIN,30-Jun-2022
41,2022-06-17,,40600.0,894.26720036531,795.8,Sun Pharmaceuticals Industries Ltd - 30/06/2022,TB1,FUTURES,SUNPHARMA,30-Jun-2022
42,2022-06-17,,45900.0,537.405448695556,537.1,Syngene International Ltd -IPO  - 30/06/2022,TB1,FUTURES,SYNGENE,30-Jun-2022
43,2022-06-17,,216600.0,409.988109432715,390.1,TATA Motors Right Issue - 30/06/2022,TB1,FUTURES,TATAMOTORS,30-Jun-2022
44,2022-06-17,,88425.0,703.569265988572,713.55,Tata Consumer Products Ltd - 30/06/2022,TB1,FUTURES,TATACONSUM,30-Jun-2022
45,2022-06-17,,124525.0,981.212019490034,907.2,Tata Steel Ltd - 30/06/2022,TB1,FUTURES,TATASTEEL,30-Jun-2022
46,2022-06-17,,78000.0,1111.048463138914,967.3,Tech Mahindra Ltd - 30/06/2022,TB1,FUTURES,TECHM,30-Jun-2022
47,2022-06-17,,21000.0,2087.041292176071,1942.35,Titan Company Ltd - 30/06/2022,TB1,FUTURES,TITAN,30-Jun-2022
